"Notes"	"Year"	"Year Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate
	"1999"	"1999"	"< 1 year"	"0"	0	2285014	Unreliable
	"1999"	"1999"	"1 year"	"1"	0	2299928	Unreliable
	"1999"	"1999"	"2 years"	"2"	0	2296395	Unreliable
	"1999"	"1999"	"3 years"	"3"	0	2353253	Unreliable
	"1999"	"1999"	"4 years"	"4"	0	2405952	Unreliable
	"1999"	"1999"	"5 years"	"5"	0	2439500	Unreliable
	"1999"	"1999"	"6 years"	"6"	0	2481812	Unreliable
	"1999"	"1999"	"7 years"	"7"	1	2569440	Unreliable
	"1999"	"1999"	"8 years"	"8"	0	2616453	Unreliable
	"1999"	"1999"	"9 years"	"9"	0	2685847	Unreliable
	"1999"	"1999"	"10 years"	"10"	5	2633085	Unreliable
	"1999"	"1999"	"11 years"	"11"	15	2591593	Unreliable
	"1999"	"1999"	"12 years"	"12"	20	2609418	0.8
	"1999"	"1999"	"13 years"	"13"	38	2617296	1.5
	"1999"	"1999"	"14 years"	"14"	95	2638132	3.6
	"1999"	"1999"	"15 years"	"15"	127	2572121	4.9
	"1999"	"1999"	"16 years"	"16"	197	2622896	7.5
	"1999"	"1999"	"17 years"	"17"	235	2616920	9.0
	"1999"	"1999"	"18 years"	"18"	295	2562320	11.5
	"1999"	"1999"	"19 years"	"19"	315	2631587	12.0
	"1999"	"1999"	"20 years"	"20"	336	2487171	13.5
	"1999"	"1999"	"21 years"	"21"	358	2385882	15.0
	"1999"	"1999"	"22 years"	"22"	299	2322921	12.9
	"1999"	"1999"	"23 years"	"23"	349	2218681	15.7
	"1999"	"1999"	"24 years"	"24"	319	2274611	14.0
	"1999"	"1999"	"25 years"	"25"	310	2270422	13.7
	"1999"	"1999"	"26 years"	"26"	327	2285049	14.3
	"1999"	"1999"	"27 years"	"27"	353	2508478	14.1
	"1999"	"1999"	"28 years"	"28"	375	2699237	13.9
	"1999"	"1999"	"29 years"	"29"	411	2745146	15.0
	"1999"	"1999"	"30 years"	"30"	391	2746926	14.2
	"1999"	"1999"	"31 years"	"31"	419	2596079	16.1
	"1999"	"1999"	"32 years"	"32"	400	2694982	14.8
	"1999"	"1999"	"33 years"	"33"	446	2742358	16.3
	"1999"	"1999"	"34 years"	"34"	495	2976036	16.6
	"1999"	"1999"	"35 years"	"35"	537	3180321	16.9
	"1999"	"1999"	"36 years"	"36"	530	3171954	16.7
	"1999"	"1999"	"37 years"	"37"	517	3255592	15.9
	"1999"	"1999"	"38 years"	"38"	540	3231345	16.7
	"1999"	"1999"	"39 years"	"39"	575	3320962	17.3
	"1999"	"1999"	"40 years"	"40"	564	3358407	16.8
	"1999"	"1999"	"41 years"	"41"	566	3260258	17.4
	"1999"	"1999"	"42 years"	"42"	563	3314369	17.0
	"1999"	"1999"	"43 years"	"43"	519	3157519	16.4
	"1999"	"1999"	"44 years"	"44"	558	3160771	17.7
	"1999"	"1999"	"45 years"	"45"	541	3166393	17.1
	"1999"	"1999"	"46 years"	"46"	514	3007083	17.1
	"1999"	"1999"	"47 years"	"47"	514	2986252	17.2
	"1999"	"1999"	"48 years"	"48"	459	2805975	16.4
	"1999"	"1999"	"49 years"	"49"	440	2859406	15.4
	"1999"	"1999"	"50 years"	"50"	424	2868751	14.8
	"1999"	"1999"	"51 years"	"51"	447	2804957	15.9
	"1999"	"1999"	"52 years"	"52"	445	3093631	14.4
	"1999"	"1999"	"53 years"	"53"	352	2148382	16.4
	"1999"	"1999"	"54 years"	"54"	351	2254975	15.6
	"1999"	"1999"	"55 years"	"55"	384	2251982	17.1
	"1999"	"1999"	"56 years"	"56"	333	2354463	14.1
	"1999"	"1999"	"57 years"	"57"	294	2022131	14.5
	"1999"	"1999"	"58 years"	"58"	263	1914823	13.7
	"1999"	"1999"	"59 years"	"59"	227	1824455	12.4
	"1999"	"1999"	"60 years"	"60"	248	1822936	13.6
	"1999"	"1999"	"61 years"	"61"	217	1734512	12.5
	"1999"	"1999"	"62 years"	"62"	212	1651562	12.8
	"1999"	"1999"	"63 years"	"63"	200	1638065	12.2
	"1999"	"1999"	"64 years"	"64"	202	1660630	12.2
	"1999"	"1999"	"65 years"	"65"	204	1519940	13.4
	"1999"	"1999"	"66 years"	"66"	207	1527583	13.6
	"1999"	"1999"	"67 years"	"67"	204	1556264	13.1
	"1999"	"1999"	"68 years"	"68"	209	1578210	13.2
	"1999"	"1999"	"69 years"	"69"	226	1566554	14.4
	"1999"	"1999"	"70 years"	"70"	252	1541418	16.3
	"1999"	"1999"	"71 years"	"71"	232	1531990	15.1
	"1999"	"1999"	"72 years"	"72"	247	1467608	16.8
	"1999"	"1999"	"73 years"	"73"	239	1444846	16.5
	"1999"	"1999"	"74 years"	"74"	229	1451384	15.8
	"1999"	"1999"	"75 years"	"75"	251	1389306	18.1
	"1999"	"1999"	"76 years"	"76"	253	1313626	19.3
	"1999"	"1999"	"77 years"	"77"	236	1292259	18.3
	"1999"	"1999"	"78 years"	"78"	221	1216656	18.2
	"1999"	"1999"	"79 years"	"79"	225	1090050	20.6
	"1999"	"1999"	"80 years"	"80"	190	1027152	18.5
	"1999"	"1999"	"81 years"	"81"	193	918092	21.0
	"1999"	"1999"	"82 years"	"82"	186	853751	21.8
	"1999"	"1999"	"83 years"	"83"	160	770232	20.8
	"1999"	"1999"	"84 years"	"84"	143	701665	20.4
	"1999"	"1999"	"85 years"	"85"	138	Not Applicable	Not Applicable
	"1999"	"1999"	"86 years"	"86"	144	Not Applicable	Not Applicable
	"1999"	"1999"	"87 years"	"87"	97	Not Applicable	Not Applicable
	"1999"	"1999"	"88 years"	"88"	102	Not Applicable	Not Applicable
	"1999"	"1999"	"89 years"	"89"	67	Not Applicable	Not Applicable
	"1999"	"1999"	"90 years"	"90"	58	Not Applicable	Not Applicable
	"1999"	"1999"	"91 years"	"91"	34	Not Applicable	Not Applicable
	"1999"	"1999"	"92 years"	"92"	41	Not Applicable	Not Applicable
	"1999"	"1999"	"93 years"	"93"	20	Not Applicable	Not Applicable
	"1999"	"1999"	"94 years"	"94"	18	Not Applicable	Not Applicable
	"1999"	"1999"	"95 years"	"95"	15	Not Applicable	Not Applicable
