State,Expansion Date
ALABAMA,not implemented
ALASKA,9/1/2015
ARIZONA,1/1/2014
ARKANSAS,1/1/2014
CALIFORNIA,"Early expansion: 11/1/2010,  1/1/2014*"
COLORADO,1/1/2014
CONNECTICUT,"Early expansion: 4/1/2010, 1/1/2014*"
DELAWARE,1/1/2014
DISTRICT OF COLUMBIA,1/1/2014
FLORIDA,not implemented
GEORGIA,not implemented
HAWAII,1/1/2014
IDAHO,approved; TBD
ILLINOIS,1/1/2014
INDIANA,2/1/2015
IOWA,1/1/2014
KANSAS,not implemented
KENTUCKY,1/1/2014
LOUISIANA,7/1/2016
MAINE,1/10/2019
MARYLAND,1/1/2014
MASSACHUSETTS,1/1/2014
MICHIGAN,4/1/2014
MINNESOTA,"Early expansion: 03/1/2010, 1/1/2014*"
MISSISSIPPI,not implemented
MISSOURI,not implemented
MONTANA,1/1/2016
NEBRASKA,approved; TBD
NEVADA,1/1/2014
NEW HAMPSHIRE,8/15/2014
NEW JERSEY,"Early expansion: 04/14/2011, 1/1/2014*"
NEW MEXICO,1/1/2014
NEW YORK,1/1/2014
NORTH CAROLINA,not implemented
NORTH DAKOTA,1/1/2014
OHIO,1/1/2014
OKLAHOMA,not implemented
OREGON,1/1/2014
PENNSYLVANIA,1/1/2015
RHODE ISLAND,1/1/2014
SOUTH CAROLINA,not implemented
SOUTH DAKOTA,not implemented
TENNESSEE,not implemented
TEXAS,not implemented
UTAH,approved; TBD
VERMONT,1/1/2014
VIRGINIA,1/1/2019
WASHINGTON,"Early expansion: 1/3/2011, 1/1/2014*"
WEST VIRGINIA,1/1/2014
WISCONSIN,not implemented
WYOMING,not implemented
